id_user,username,nativeLanguage,targetLanguages,learningGoals,dailyTime,interestedCountries,culturalPreferences
"680f286e8b186140b8c99945","truongtuan","Tiếng Việt","Tiếng Anh:Sơ cấp|Tiếng Hàn:Cao cấp","Giao tiếp,Công việc","30 phút","Hàn Quốc|Trung Quốc","Lịch sử|Du lịch"
"680f286e8b186140b8c99946","somidep","Tiếng Việt","Tiếng Anh:Sơ cấp|Tiếng Hàn:Cao cấp","Giao tiếp,Công việc","30 phút","Hàn Quốc|Trung Quốc","Ẩm thực|Nghệ thuật"
"680f286e8b186140b8c99947","somidep","Tiếng Việt","Tiếng Anh:Sơ cấp|Tiếng Hàn:Trung cấp","Giao tiếp,Công việc","30 phút","Hàn Quốc|Trung Quốc","Âm nhạc|Ẩm thực"
"680f286e8b186140b8c99948","","mongladuoc","Tiếng Việt","Tiếng Anh:Sơ cấp","Giao tiếp","30 phút","Hàn Quốc|Trung Quốc","Phim ảnh"
"680f286e8b186140b8c99949","mongmoi","Tiếng Việt","Tiếng Anh:Sơ cấp","Giao tiếp","30 phút","Hàn Quốc","Phim ảnh"
"680f286e8b186140b8c99942","thaicho","Tiếng Việt","Tiếng Anh:Sơ cấp|Tiếng Hàn:Sơ cấp","Du học","30 phút","Hàn Quốc|Trung Quốc","Phim ảnh|Lịch sử"
"680f286e8b186140b8c99941","phongtam","Tiếng Việt","Tiếng Anh:Sơ cấp","Thi lấy chứng chỉ","30 phút","Hàn Quốc|Trung Quốc","Âm nhạc|Ẩm thực"
"68105cb237a0a01b18df84b7","tuanhulo","Tiếng Việt","Tiếng Hàn:Sơ cấp","Du học","30 phút","Hàn Quốc|Mỹ","Âm nhạc|Ẩm thực|Phim ảnh|Tập quán"
"68105ed844e83972fc4b82b1","tuan","Tiếng Việt","Tiếng Trung:Trung cấp|Tiếng Hàn:Cao cấp","Giao tiếp,Du học","30 phút","Việt Nam|Pháp","Phim ảnh|Nghệ thuật|Âm nhạc"
"681255adc34d3c5514431071","tuanhulo","Tiếng Việt","Tiếng Hàn:Sơ cấp","Giao tiếp","30 phút","Hàn Quốc|Nhật Bản|Việt Nam","Âm nhạc|Phim ảnh|Văn học"
"681310fc0ec693400442c367","toan","Tiếng Việt","Tiếng Hàn:Sơ cấp","Giao tiếp","30 phút","Hàn Quốc|Trung Quốc","Âm nhạc|Văn học"

"6813284dc764193748b50038","tam123hc","Tiếng Việt","Tiếng Anh:Sơ cấp","Giao tiếp","30 phút","Hàn Quốc|Trung Quốc","Âm nhạc|Du lịch"
"6813496828fd3c347c6dff95","tam","Tiếng Việt","Tiếng Hàn:Sơ cấp","Giao tiếp","30 phút","Hàn Quốc","Âm nhạc|Du lịch"
"❌ Lỗi: Failed! Email is already in use!","tam123hc","Tiếng Việt","Tiếng Hàn:Sơ cấp","Giao tiếp","30 phút","Hàn Quốc|Anh","Âm nhạc|Phim ảnh"
"681371c4dc58c243ec1fc258","quangthai","Tiếng Việt","Tiếng Hàn:Trung cấp","Giao tiếp,Du học","60 phút","Hàn Quốc|Anh","Âm nhạc|Ẩm thực"
